face1, 262.0000,  203.0000,   63.0000,   62.0000
face1, 146.0000,  357.0000,   88.0000,  101.0000
face2, 381.0000,  143.0000,   35.0000,   35.0000
face2, 342.0000,  126.0000,   26.0000,   38.0000
face2, 266.0000,  140.0000,   37.0000,   40.0000
face2, 223.0000,  154.0000,   31.0000,   34.0000
face2, 313.0000,   87.0000,   36.0000,   39.0000
face2, 232.0000,   77.0000,   38.0000,   39.0000
face3, 337.0000,   274.0000,    51.0000,    69.0000
face3, 482.0000,   550.0000,    48.0000,    50.0000
face3, 593.0000,   161.0000,    50.0000,    47.0000
face3, 622.0000,   343.0000,    62.0000,    60.0000
face4, 101.0000,   532.0000,    45.0000,    55.0000
face4, 219.0000,   543.0000,    45.0000,    55.0000
face4, 372.0000,   558.0000,    49.0000,    50.0000
face4, 493.0000,   525.0000,    45.0000,    51.0000
face4, 623.0000,   541.0000,    52.0000,    58.0000
face5, 107.0000,   146.0000,    45.0000,    48.0000
face5, 300.0000,    76.0000,    40.0000,    56.0000
face5, 447.0000,   332.0000,    47.0000,    51.0000
face5, 754.0000,   160.0000,    43.0000,    47.0000
